100,28,18,5,18,2,0,0,0,5,11,5,75,0,0,0,58,0,0,0,0,5,38,285,1,12,91,25,7,374,583,223,-1316,1232,-16104,-175,-2,108
81,42,17,7,17,2,0,0,0,8,19,6,83,0,0,0,42,0,0,0,1,9,16,256,12,7,91,31,5,550,982,323,-1307,1210,-16075,-159,-45,105
83,45,18,7,17,1,0,0,0,20,10,14,83,1,0,0,45,0,1,0,0,4,15,229,24,6,82,29,5,545,973,321,-1256,1215,-16095,-141,-63,80
83,44,18,7,17,1,0,0,1,8,10,8,83,3,0,0,31,0,0,0,0,4,17,257,19,5,66,28,4,532,961,306,-1267,1210,-16061,-185,-25,106
101,44,23,5,16,4,0,1,1,8,11,5,83,1,0,0,80,0,3,0,0,4,18,263,1,8,66,25,4,511,942,305,-1315,1234,-16088,-194,-33,101
89,43,18,6,16,3,0,0,1,8,13,5,85,1,0,0,99,1,0,0,0,5,16,245,5,7,63,24,5,520,936,302,-1271,1214,-16099,-185,3,102
99,44,17,11,17,3,0,0,0,7,12,4,84,2,0,0,79,0,0,0,0,4,15,242,0,6,63,31,5,516,925,297,-1299,1258,-16154,-188,-22,96
105,41,17,6,17,1,1,0,0,7,10,4,81,1,0,0,86,0,0,0,0,3,16,234,1,6,61,25,5,486,918,293,-1258,1226,-16080,-188,-10,107
103,50,17,6,20,2,0,1,0,7,12,6,80,0,0,0,64,0,1,0,0,9,14,208,19,6,67,24,4,498,908,297,-1290,1252,-16116,-201,-43,87
105,42,18,9,17,2,0,0,0,7,10,4,76,0,0,0,85,0,0,0,0,10,16,213,1,5,63,20,5,473,885,292,-1259,1209,-16082,-184,-14,97
106,43,20,7,21,3,0,0,0,6,6,3,57,0,0,0,69,0,0,0,0,3,16,216,21,5,62,26,9,453,850,282,-1281,1253,-16109,-183,-39,74
100,45,19,7,26,6,0,0,0,0,0,0,5,0,0,0,45,0,0,0,4,3,24,202,19,8,67,27,10,421,809,284,-1276,1191,-16092,-171,-66,64
95,50,18,8,27,1,0,0,0,0,0,0,8,0,0,0,77,0,1,0,2,2,16,199,0,6,71,39,7,425,810,274,-1269,1240,-16098,-155,-46,78
100,44,29,7,26,1,0,0,0,0,0,0,8,0,0,0,87,0,0,0,4,5,18,203,0,6,63,27,8,410,817,272,-1258,1217,-16088,-139,-41,85
90,44,30,7,26,1,0,0,0,0,0,0,8,0,0,0,78,0,0,0,2,4,19,223,0,6,63,26,17,419,828,271,-1334,1257,-16049,-129,-74,68
90,43,19,8,35,0,0,0,0,0,0,0,7,0,0,0,76,0,0,0,2,3,16,221,0,10,73,23,9,436,837,285,-1264,1233,-16095,-109,-81,69
88,45,20,9,28,2,0,0,1,0,0,0,14,0,0,0,51,0,0,0,5,3,22,223,17,10,75,27,9,434,871,286,-1270,1233,-16104,-124,-70,81
85,39,22,9,27,2,0,0,1,0,0,0,7,0,0,0,86,0,2,0,2,5,14,184,27,4,65,29,13,458,902,304,-1326,1261,-16058,-122,-86,61
121,59,26,11,31,3,0,0,0,0,0,0,6,0,0,1,52,0,0,1,1,4,26,178,20,6,59,28,8,485,935,326,-1279,1283,-16094,-117,-109,56
125,78,28,12,29,11,0,0,0,1,0,0,6,1,0,0,42,0,0,0,2,2,31,138,18,3,60,23,7,521,956,354,-1302,1269,-16033,-112,-102,44
122,92,29,12,29,3,0,0,1,1,0,0,12,0,0,0,28,0,0,0,2,1,23,119,13,6,63,26,6,531,1103,374,-1296,1284,-16087,-101,-93,48
118,87,33,12,31,3,0,0,0,0,0,0,10,0,0,0,41,1,0,0,2,3,44,202,12,2,79,35,4,538,1176,362,-1312,1296,-16047,-134,-108,42
54,92,32,12,33,3,0,0,0,0,0,1,9,0,0,0,60,0,0,0,2,4,57,206,21,10,61,24,6,523,1286,391,-1267,1274,-16103,-137,-111,38
65,71,26,12,28,4,0,0,0,0,0,0,11,0,0,0,64,0,0,1,1,2,61,181,21,6,64,26,6,603,1428,398,-1302,1215,-16056,-173,-130,42
54,43,20,8,20,1,0,0,25,2,2,0,16,0,0,0,34,0,0,1,1,3,95,242,12,6,69,24,6,671,1455,389,-1278,1232,-16056,-154,-151,35
67,42,23,3,22,2,0,0,0,3,2,0,15,0,0,0,31,0,0,0,4,4,94,350,0,5,62,22,6,744,1550,441,-1309,1222,-16090,-144,-143,40
60,49,21,9,28,2,0,0,0,0,2,0,15,1,0,0,84,0,0,0,2,5,139,491,8,3,65,23,13,789,1638,526,-1291,1233,-16055,-145,-140,41
100,39,27,11,22,3,0,0,0,0,0,0,6,0,0,0,95,2,0,0,5,7,181,556,14,4,76,20,7,773,1728,569,-1251,1232,-16104,-154,-141,40
84,29,14,7,19,1,0,0,0,0,0,0,6,0,0,0,105,1,1,0,4,7,239,676,10,5,98,30,17,836,1773,579,-1303,1254,-16062,-140,-143,55
30,40,15,8,23,2,0,0,16,2,0,0,7,0,0,0,85,0,0,1,3,8,269,768,32,15,157,36,11,888,1801,602,-1347,1238,-16086,-148,-129,66
21,38,10,9,24,2,0,0,3,0,0,0,8,0,0,0,107,17,1,0,2,13,320,866,9,19,118,42,19,992,1810,594,-1358,1245,-16076,-134,-167,53
