939,720,621,318,53,44,846,334,875,884,1628,1830,1479,1508,1388,359,970,1076,743,863,748,563,138,112,925,1147,479,462,1305,1551,949,2515,1823,2808,16324,-7,-164,28
1643,1071,1046,504,76,49,747,397,63,631,1123,1284,1798,2186,1951,665,1665,1834,845,1379,1094,922,264,216,23,50,28,102,316,279,33,1391,2442,4783,21243,1947,-8962,2759
1494,874,936,573,84,79,554,304,63,588,1063,1006,1512,1980,1986,686,1798,2017,784,1448,1133,1049,317,215,23,33,29,88,293,258,59,1177,2348,4315,21460,2058,-14442,3972
1118,732,635,607,73,81,548,317,62,559,985,887,1311,1491,1751,661,2006,2047,739,1337,1157,1361,416,271,23,34,30,97,188,250,44,792,3149,5103,21216,-142,-18091,4965
801,663,366,447,86,128,663,374,62,547,906,959,1127,1117,1413,512,2056,1853,742,995,1211,1348,442,192,24,35,32,103,148,316,46,497,4280,5533,21456,-1126,-20384,6290
569,583,239,156,92,176,620,412,82,544,850,912,812,893,1239,385,1886,1658,667,702,1290,968,374,212,28,45,37,167,158,441,54,480,5251,8572,18865,-2146,-21369,7598
337,533,67,61,86,71,469,188,92,596,754,950,719,678,1004,256,1348,1201,523,396,901,435,116,241,34,53,39,249,205,701,42,680,4363,9506,18733,-1668,-19430,9722
111,413,53,36,217,47,144,111,58,695,749,1002,696,385,1086,175,1045,912,322,37,275,229,40,73,34,64,41,405,298,987,97,834,-4609,7927,17904,-5061,-13482,11775
43,297,49,34,95,43,51,65,45,876,716,915,431,358,1017,195,679,801,194,35,89,133,35,55,36,70,47,575,435,1070,35,905,-11634,13012,14310,-7516,-4626,13220
39,242,47,32,63,39,43,55,49,891,686,856,317,391,1032,215,657,827,122,30,97,106,34,57,38,73,47,631,528,1148,35,954,-14325,16240,10667,-2376,1811,13085
39,246,45,33,63,38,43,45,46,870,614,831,274,373,1035,191,729,814,121,31,113,117,36,52,34,87,47,659,554,1156,35,998,-15236,11413,11440,3095,8069,9013
38,223,47,35,51,41,45,36,46,877,558,818,257,367,1060,152,716,864,134,31,79,109,38,42,34,70,45,663,573,1120,36,1014,-12374,11130,11945,6842,11258,3429
39,233,47,36,42,41,47,32,47,887,558,808,205,376,1055,122,737,867,134,32,76,112,37,41,36,69,45,658,564,1104,33,964,-9382,6103,14330,12667,13117,-4884
38,246,45,36,39,40,45,32,46,895,539,822,229,389,1053,121,682,872,133,32,53,90,37,40,33,68,44,617,543,1111,33,996,-2773,90,20303,11763,14030,-7692
36,279,41,37,37,39,44,35,41,907,542,798,232,386,1051,117,567,848,128,32,33,84,39,39,33,68,43,607,430,1113,34,975,378,-24,22492,9615,15266,-9398
61,301,44,36,40,38,42,34,86,825,537,810,252,395,1033,119,560,837,173,32,53,103,39,40,35,67,42,558,355,1103,141,957,3783,718,22927,7328,16344,-9999
82,294,44,37,42,43,45,33,94,822,565,800,242,403,1013,115,608,844,168,32,54,103,38,44,37,69,45,551,354,1094,150,933,7387,1145,22538,6188,16458,-10104
108,276,47,37,43,43,48,33,97,819,589,827,256,416,1016,118,649,862,177,32,62,104,37,43,34,66,41,545,350,1087,153,937,10996,-467,21676,5386,15468,-10369
111,291,45,37,43,44,48,36,96,799,598,828,264,412,1019,115,667,874,247,35,67,104,38,44,37,66,40,531,320,1078,151,932,14436,-1301,19791,3569,13524,-10650
97,304,46,36,45,44,50,37,98,793,626,835,302,418,1007,112,675,871,266,33,63,107,41,43,36,66,43,535,320,1089,159,928,17316,-2069,17408,1568,10586,-10163
100,309,47,37,49,42,48,34,95,766,639,841,340,417,1008,111,683,876,262,33,80,100,37,43,35,68,40,539,314,1107,159,931,18381,-2488,15411,-447,7433,-8684
100,307,46,36,53,42,49,34,96,767,614,837,370,420,1013,113,731,883,259,33,80,103,39,43,35,68,40,549,331,1125,170,948,19250,-2120,13444,-2403,4949,-6685
96,282,43,35,49,41,47,34,106,839,754,815,410,418,997,109,634,851,175,32,67,120,39,45,61,65,43,695,383,1132,147,1003,29898,-4404,21484,-6130,1282,-4333
68,256,36,32,47,36,38,43,307,884,937,715,495,351,791,165,422,551,87,31,65,118,35,42,374,664,113,1229,658,1593,890,1281,32696,-988,12234,-8880,-3201,25
55,224,31,29,47,30,32,32,382,853,1071,605,500,266,536,127,256,258,38,26,64,80,29,32,1719,1736,587,1791,1255,2430,1912,1900,4385,2435,17936,-8415,-8837,5241
38,139,25,26,35,27,30,29,604,792,796,520,350,185,361,88,104,162,29,24,42,52,25,28,2568,2364,1943,2180,2239,2996,2578,2446,614,5333,21141,-3027,-8966,3353
46,122,23,25,31,26,31,24,1006,823,707,504,377,218,421,65,78,138,22,23,42,46,24,24,2414,2535,2415,2389,2556,3140,2682,2805,3695,3221,23270,-64,-11078,1455
